title,description,url,organization,age_range,start_date,end_date,start_time,end_time,day_of_week,duration_minutes,repeat_rrule,repeat_frequency,newsletter_description,newsletter_last,newsletter_highlight,calendar_skip,calendar_sent,file_url,location,neighborhood,area,created_at,list_id,status,source
MoveNMeet Parent & Child Class,"Every Wednesday morning, Movenmeet organizes parent & child workouts at Broedplaats SUP (Amsterdam South).

Participation is free of charge. Please register in advance; walk-ins are also welcome.

When: Every Wednesday morning 10:00-10:50 (walk-in from 9:30 for coffee, games, and a chat)
Where: Broedplaats SUP, Surinameplein 33, Amsterdam
For whom: Parents (m/x/f) with child(ren) aged 0-5 years.

What to bring: Yourself and your little one(s)

We advise wearing comfortable clothing.

Follow @movenmeet on Instagram for the latest updates.",https://www.instagram.com/reel/DWEUXCeChHf/?igsh=MWFveDRyOW44NnI5eg==,MoveNMeet,0-4 years,2026-03-25,2026-03-25,10:00,10:45,Wednesday,45,RRULE:FREQ=WEEKLY;BYDAY=WE,weekly,"Every Wednesday morning, Movenmeet organizes parent & child workouts at Broedplaats SUP (Amsterdam South).

Participation is free of charge. Please register in advance; walk-ins are also welcome.

When: Every Wednesday morning 10:00-10:50 (walk-in from 9:30 for coffee, games, and a chat)
Where: Broedplaats SUP, Surinameplein 33, Amsterdam
For whom: Parents (m/x/f) with child(ren) aged 0-5 years.

What to bring: Yourself and your little one(s)

We advise wearing comfortable clothing.

Follow @movenmeet on Instagram for the latest updates.",2026-03-23,false,false,true,,"Surinameplein 33, 1058 GR Amsterdam",Hoofddorppleinbuurt,South,2026-03-21 07:45,ideas,new,manual
Parent & Child Movement Theater,"These unique parent & child movement theatre sessions offer a fun and creative way for toddlers and preschoolers (2-4 years old) and their parents to spend time together. Each week features an imaginative journey exploring a different theme through dance, mime, songs, costumes, and decor, all conducted in English. The sessions foster body awareness, English vocabulary expansion, and social interaction in a welcoming and inclusive environment. Amsterdam Kids Drama & Dance is committed to being LGBT+ family friendly and celebrates all cultural backgrounds. While the studio is not currently wheelchair accessible, they are working on solutions. Sessions are regular, occurring weekly on Wednesdays and Saturdays.",https://amsterdamkidsdramadance.com/classes-2-4-year-olds/,Amsterdam Kids Drama & Dance,2-4 years,2026-03-25,2026-03-25,09:45,11:00,Wednesday,,"RRULE:FREQ=WEEKLY;BYDAY=WE,FR,SA",weekly,"Join Amsterdam Kids Drama & Dance for fun and creative Parent & Child Movement Theatre Sessions, designed for toddlers and preschoolers aged 2-4 years. These weekly English-language classes use dance, mime, and songs to explore imaginative themes, fostering creativity and interaction in an inclusive, family-friendly atmosphere. Sign up for a block of sessions to join this engaging activity.",2026-03-23,false,true,false,,"Overtoom 301, 1054 HW Amsterdam, The Netherlands",Oud-West,West,2026-03-21 22:14,ideas,new,manual
Reopening of the Vondelpark Klauterpad Playground,"On Wednesday, March 25, we will open the renovated play structure at the Klauterpad in Vondelpark. The playground has been out of use for some time, but the play structure has since been refurbished. The greenery in the playground has also been improved.

The renovated Klauterpad will be officially opened with a festive ceremony, attended by the children's mayor and officials from the South district, among others.

From March 25, children (and adults) can use the playground equipment again.",https://activiteiten.amsterdam.nl/activiteiten/2026/03/opening-vernieuwde-speeltuin-klauterpad/,Gemeente Amsterdam,,2026-03-25,2026-03-25,15:00,16:00,Wednesday,120,,,"The wooden Klauterpad playground in Vondelpark is reopening this week! There will be an official opening with a festive ceremony, attended by the children's mayor and city officials. Everyone can play after Wednesday in the new, renovated playground.",2026-03-23,false,false,true,,"Rosarium Vondelpark, 1054 NE Amsterdam",Oud West,West,2026-03-23 12:22,ideas,new,manual
Cherry Blossom Food Fest & International Sushi Festival,"Experience the annual Cherry Blossom Food Fest and International Sushi Festival hosted by Japan Light Festival. Held at Bloesempark Amstelveen within the Amsterdamse Bos, this event celebrates the cherry blossom season with a diverse array of food, including an International Sushi Festival, and cultural highlights from Japan and Korea.",https://www.instagram.com/p/DV5x8MjimTc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Japan Light Festival,All ages,2026-03-26,2026-04-05,,,Thursday,,,,The Japan Light Festival invites families to the Cherry Blossom Food Fest & International Sushi Festival at Bloesempark Amstelveen. Enjoy delicious food and celebrate the cherry blossom season with Japanese and Korean cultural highlights.,2026-03-23,false,true,false,,"Nieuwe Meerlaan 340, 1182 DB Amstelveen, Netherlands",Other,Other,2026-03-09 22:19,ideas,new,manual
Robbeburg x Muzaza Musical Playgroup,"Robbeburg International Playgroup is partnering with Muzaza and its founder, Maya Felixbrodt, for a special morning of music, rhythm, and play. Little ones are invited to explore the magic of music together through singing, movement, and joyful activities. Space is limited, and tickets go on sale Friday, March 7.",https://www.instagram.com/p/DVdAN7LDOth/?igsh=MW41ODk1MW43NWJqbA==,Robbeburg International Playgroup,0-4 years,2026-03-27,2026-03-27,10:00,12:00,Friday,120,,,"Robbeburg International Playgroup is hosting a special musical playgroup session with Muzaza founder Maya Felixbrodt, offering a joyful morning of music, rhythm, singing, and movement for little ones. This ticketed event, designed for children 0-4 years old, promises a magical exploration of music together. Tickets go on sale March 7.",2026-03-23,false,false,true,,"Jekerstraat 84, 1078 MG Amsterdam, The Netherlands",Rivierenbuurt,South,2026-03-04 09:24,ideas,new,manual
Pregnant Parents Lunch & Meet-up at Papote,"Hello Doula invites pregnant parents (in their 1st, 2nd, or 3rd trimester) to a lovely lunch at Papote. This event is a perfect opportunity to meet and connect with future mama friends. Your ticket includes a welcome drink and light snacks.",https://www.instagram.com/p/DV1BbtfgSpZ/?igsh=MXBkaXFvcjR4aXNkeA==,Hello Doula,Pregnant Parents,2026-03-27,2026-03-27,12:00,14:00,Friday,120,,,"Join Hello Doula for a lovely lunch at Papote, designed for pregnant parents in their 1st, 2nd or 3rd trimester. It's a perfect opportunity to meet future mama friends and connect. Your ticket includes a welcome drink and light snacks.",2026-03-23,false,false,true,,"Overtoom 149, 1054 HG Amsterdam, The Netherlands",Oud-West,West,2026-03-13 15:52,ideas,new,manual
Japanese Family MATSURI Festival,"Join Popup collective amsterdam for a Japanese Family MATSURI Festival in Amsterdam Noord! This event for all ages will feature a variety of Japanese activities, including martial arts (like jiu-jitsu), creative workshops such as origami, animation, illustration, and haiku writing. Enjoy Japanese snacks and onigiri, which will be available for purchase, and groove to a DJ set playing Japanese music. The festival takes place at Bethelkerk and promises a vibrant cultural experience for the whole family.",https://www.instagram.com/p/DVo0LGdDLYe/?igsh=e3dtZzZxbWxuZ25m,Popup collective amsterdam,All Ages,2026-03-28,2026-03-28,13:30,17:00,Saturday,210,,,"Popup collective amsterdam invites families to a vibrant Japanese Family MATSURI Festival in Amsterdam Noord, featuring a blend of Japanese sports, creative workshops like origami and animation, and a DJ with Japanese music. Enjoy authentic Japanese snacks and onigiri available for purchase. This engaging cultural event is open to all ages, promising fun for both children and adults.",2026-03-23,false,false,true,,"Bethelkerk, Plejadenplein 44, 1033VL Amsterdam, The Netherlands",Amsterdam Noord,North,2026-03-13 15:51,ideas,new,manual
Easter Parade,"Join Gelderlandplein for their festive Easter Parade! This event includes an exciting Easter egg hunt and various other Easter-themed activities, perfect for families.",https://www.instagram.com/reel/DV0vSnZjBGY/?igsh=MWY0cXVoZno1OHJ3Yg==,Gelderlandplein,All ages,2026-03-28,2026-03-28,12:00,16:30,Saturday,270,,,"Gelderlandplein invites families to their festive Easter Parade, featuring an exciting Easter egg hunt and other fun activities. This event is perfect for all ages, offering a wonderful way to celebrate the holiday.",2026-03-23,false,false,true,,"Van Leijenberghlaan 43, Amsterdam, The Netherlands",Buitenveldert-Noord,South,2026-03-14 14:19,ideas,new,manual
Opening day of the KiMu Children's Art Museum,"KiMu, the Children's Art Museum, empowers children in their own creative process through play, experimentation, research, imagination, expression, and autonomy. It is a place where ideas grow, children explore their boundaries, and connect with themselves, each other, and the world. KiMu also serves as a meeting place for parents, educators, and professionals to gain inspiration and practical tools in pedagogy and art education. Visitors can enjoy inspiring exhibitions featuring works by children and contemporary artists, participate in workshops in richly equipped ateliers, explore phenomena of light, and find materials and tools for creative activities at home or in the classroom.",https://www.kimu.nl/,KiMu Kinderkunstmuseum,All ages of childhood,2026-03-28,2026-03-28,10:00,17:00,Saturday,420,,,"KiMu, the Children's Art Museum in Amsterdam, is a vibrant space where children lead their own creative journey through play, experimentation, and art. It offers inspiring exhibitions, workshops, and resources for children of all ages, fostering imagination and autonomy. KiMu also serves as a valuable meeting point for parents and educators seeking inspiration in pedagogy and art education.",2026-03-23,false,false,true,,Termini 487 1025 XM Amsterdam,Jeugdland,North,2026-03-20 23:56,ideas,new,manual
Decorate Your Easter Egg,Join Papote for a festive Easter celebration where participants can decorate Easter eggs and enjoy an exciting Easter egg hunt. This event offers multiple 1.5-hour time slots to accommodate families throughout the day. Perfect for creative fun and a memorable experience.,https://ecom.roller.app/papote/booknow/en/product/1253848?date=2026-04-01,Papote,,2026-04-01,2026-04-01,15:30,16:30,Wednesday,90,,,"Papote invites families of all ages to a special 'Decorate Your Easter Egg' event. Participants can look forward to decorating their own Easter eggs and joining a fun egg hunt. This ticketed event offers multiple 1.5-hour time slots on April 1st, 2026, ensuring a festive and memorable experience for everyone.",2026-03-23,false,false,true,,"Vasco Da Gamastraat 65, 1057 VJ Amsterdam",De Baarsjes,West,2026-03-19 21:29,ideas,new,manual
KIEM Easter Bingo for Children,"Join KIEM for a special Easter Bingo event designed for children! Volunteer Loes has sourced wonderful prizes made from sustainable materials, and Silvester will be present to announce the numbers and ensure a lively atmosphere. The Bingo event specifically runs from 14:00 to 15:00, although the Kindergroencafe KIEM Lokaal is open from 10:00. Participation is free, but advance registration is mandatory and can be done by emailing info@wachterliedpaviljoen.nl.",https://www.instagram.com/p/DWHZNmdCQw4/?igsh=djlodjR5cW5wbDho,KIEM,Up to 10 years,2026-04-01,2026-04-01,14:00,15:00,Wednesday,60,,,"KIEM invites children up to 10 years old to a special, free Easter Bingo event. Join them at KIEM Lokaal in Bos en Lommer for a fun afternoon filled with sustainable prizes and lively number calling. Registration is required to secure your spot.",2026-03-23,false,false,true,,"Wachterliedplantsoen 1, Amsterdam, The Netherlands",Bos en Lommer,West,2026-03-20 21:41,ideas,new,manual
Donate to A Different Story,"A Different Story announces their ambitious plans for 2026, aiming to expand their reach by 200% to serve over 100 families. Their goals include offering more tailored support to parents, providing increased activities for vulnerable young people, and hosting more community events and activities. They are currently raising core funding to achieve these objectives and invite the community to join them in building a different future.",https://www.instagram.com/p/DWqONsLl9-b/?igsh=MTczMG4xYWs5dGxlcA==,A Different Story,,2026-04-03,2026-04-03,09:00,17:00,Friday,480,,,"A Different Story is a local nonprofit that supports families with children that have special needs. They are currently fundraising to double their reach of their core programs: to serve over 100 families with support groups and special events. It's a cause close to my heart, and I invite you to donate if you're able ❤️",,false,true,false,,,Other,Everywhere,2026-04-07 13:20,ideas,new,manual
Kids Easter Egg Hunt,"Join District Church for a fun-filled Kids Easter Egg Hunt with prizes, bounce houses, treats, and lots of fun!
11:30 (ages 1–3)",https://www.eventbrite.com/e/tickets-kids-easter-egg-hunt-1984538383728,District Church,,2026-04-04,2026-04-04,10:00,12:30,Saturday,150,,,"Join District Church for a fun-filled Kids Easter Egg Hunt, featuring prizes, bounce houses, and treats! This event is perfect for families with young children, promising lots of fun. Registration is required via Eventbrite.",2026-03-23,false,false,true,,"151-hs Van Ostadestraat, 1073 TK Amsterdam, The Netherlands",De Pijp,South,2026-03-22 14:59,ideas,new,manual
Easter Egg Hunt and Crafts at Willet-Holthuysen,"Come to Huis Willet-Holthuysen for a special Easter activity over the Easter weekend (April 4, 5 and 6, 2026). Children can enjoy an exciting Easter egg hunt in the historic garden, with many hiding spots for a challenging search. Indoors, there will be guided craft sessions to create beautiful Easter decorations or color coloring pages under supervision. To guarantee a spot, it is recommended to reserve a time slot online. If time slots are sold out, visitors can still try to come on the day itself for entry if space allows. The activities take place daily from 10:00 AM to 3:00 PM.",https://www.amsterdammuseum.nl/publieksprogramma/pasen-huis-willet-holthuysen/188769,Amsterdam Museum,,2026-04-04,2026-04-06,10:00,15:00,Saturday,300,,,"Join the Amsterdam Museum at Huis Willet-Holthuysen for a delightful Easter weekend filled with family fun! Children can participate in an exciting Easter egg hunt in the historic garden and get creative with Easter crafts and coloring activities indoors. This family-friendly event, hosted by the Amsterdam Museum, runs from April 4-6, 2026.",2026-03-23,false,false,true,,"Herengracht 605, Amsterdam, The Netherlands",Grachtengordel-Zuid,Center,2026-03-22 15:00,ideas,new,manual
Paasstraat Easter Event,"The Paasstraat Easter Event is a festive celebration held on Maasstraat in Amsterdam. It features an Easter Scavenger Hunt available from March 31 to April 4, 2026. A special highlight is the 'Schmink & Glittertantes' (Face Painting & Glitter Aunts) activity, which takes place on Saturday, April 4, 2026, from 11:00 to 15:00. Participants have the chance to win prizes. Additional information can be found on flyers distributed in local shops.",,,0-8 years,2026-04-04,2026-04-04,11:00,15:00,Saturday,240,,,"Join the Paasstraat Easter Event for a delightful celebration on Maasstraat! Enjoy an Easter Scavenger Hunt from March 31 to April 4, and on Saturday, April 4, children can get creative with face painting and glitter. This event, organized by local businesses, is perfect for babies, toddlers, and young children (0-8 years), offering fun activities and a chance to win prizes.",,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0AP2HW8F6J/screenshot_20260326-194222.png,"Maasstraat, Amsterdam, The Netherlands",Rivierenbuurt,South,2026-03-26 19:45,ideas,new,manual
Easter Weekend,"Celebrate Easter Weekend at Breman Brasserie. Enjoy three days of special brunch from 12-4pm with an à la carte menu and a chicken roast for two to share. Dinner from 6-10pm will feature Breman's selects with an Easter twist. A candy cart will be available all weekend, and on Monday from 1-3pm, a few fluffy Alpaca friends will be stopping by on the terrace.",https://thehoxton.com/amsterdam/lloyd/whats-on/easter-weekend/,The Hoxton,All ages,2026-04-04,2026-04-06,12:00,16:00,Saturday,240,,,"Join The Hoxton's Breman Brasserie for an enchanting Easter Weekend filled with delicious brunch and dinner, a delightful candy cart, and special visits from fluffy Alpaca friends on the terrace. This family-friendly event offers a festive atmosphere for all ages.",,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0APRF3H290/img-20260330-wa0004.jpg,"Oostelijke Handelskade 34, Amsterdam, The Netherlands",Oostelijk Havengebied,East,2026-03-30 17:01,ideas,new,manual
Easter Egg Hunt Event in het Amsterdamse Bos,"Join Vourla Event Planning for an unforgettable Easter Egg Hunt Event at the beautiful Amsterdamse Bos. The day will be filled with excitement, laughter, and plenty of sweet surprises. The Easter Egg Hunt is designed for children of all ages, with special areas for different age groups to ensure everyone has a fantastic time.",https://www.vourlaevent.com/event-details/easter-egg-hunt-event-in-het-amsterdamse-bos,Vourla Event Planning,2-6,2026-04-05,2026-04-05,10:00,13:00,Sunday,180,,,"Join Vourla Event Planning for an exciting Easter Egg Hunt at the beautiful Amsterdamse Bos! This event is designed for children of all ages with special areas for different age groups, promising a day filled with laughter and sweet surprises. Tickets are required for participation.",2026-03-23,false,false,true,,"Nieuwe Meerlaan 1, 1182 DB Amstelveen, The Netherlands",Amsterdamse Bos,South,2026-03-08 21:47,ideas,new,manual
Easter Brunch & Scavenger Hunt 2026,"Celebrate Easter at De Ceuvel with their annual Easter Brunch and Speurtocht (scavenger hunt). The chef will prepare a delicious brunch buffet featuring fresh, local, and sustainable products, including homemade bread, pastries, various spreads, salads, and warm dishes, catering to all visitors. Children can enjoy a fun scavenger hunt across the site, searching for hidden Easter eggs to earn a tasty surprise. This promises to be an unforgettable day for the whole family! Reservations are required.",https://deceuvel.nl/en/event/paasbrunch-en-speurtocht-2026/,De Ceuvel,All ages,2026-04-05,2026-04-05,10:00,13:00,Sunday,180,,,"De Ceuvel invites families to their annual Easter Brunch and Scavenger Hunt on Sunday, April 5, 2026. Enjoy a delicious buffet with fresh, local, and sustainable products, and let the children participate in a fun scavenger hunt for hidden Easter eggs. Reservations are required for this delightful family event, open to all ages.",2026-03-23,false,false,true,,"Korte Papaverweg 4, 1032 KB Amsterdam, The Netherlands",Buiksloterham,North,2026-03-12 22:56,ideas,new,manual
Easter Egg Hunt at Terrasmus,"Join Terrasmus for an exciting Easter egg hunt in the park! All little ones are invited to search for eggs. The event starts promptly at 10:00 AM on Sunday, April 5th and Monday, April 6th. Terrasmus is looking forward to seeing everyone!",https://www.instagram.com/p/DWD9MzrChkU/?igsh=MW8zcDhydjh2ZzV6MQ==,Terrasmus,All ages,2026-04-05,2026-04-06,10:00,11:30,Sunday,90,,,"Terrasmus invites all families to their annual Easter egg hunt in the park! This free event is perfect for young children of all ages to search for hidden eggs. The hunt kicks off promptly at 10:00 AM on both Sunday, April 5th and Monday, April 6th.",2026-03-23,false,false,true,,"Balboaplein 22, 1057 DK Amsterdam, The Netherlands",De Baarsjes,West,2026-03-19 13:46,ideas,new,manual
Papote Easter Egg Hunt,"Papote Easter Egg Hunt | Monday 6th of April
Included in the ticket is: a basket, play area entrance and easter pancakes to share as a family 

10 am to 12 pm

Kick off at 10:15 am",https://ecom.roller.app/papote/booknow/en/product/1256128?date=2026-04-06,Papote,,2026-04-06,2026-04-06,10:00,12:00,Monday,,,,"Papote is doing a special opening on Monday for an Easter Egg Hunt! Included in the ticket is: a basket, play area entrance and easter pancakes to share as a family. Kick off at 10:15am.",2026-03-23,false,false,true,,"Vasco Da Gamastraat 65, 1057 VJ Amsterdam",De Baarsjes,West,2026-03-19 18:13,ideas,new,manual
7 Tips to get your baby sleeping through the night with Workshops,"Learn 7 gentle, practical tips to help your baby sleep better and create calmer nights for the whole family. Session led by a Sleep Coach Yolanda (@Game of snores). We ask for a symbolic €1 to reserve your spot.",https://coffeeandkids.as.me/schedule/44235fe7/appointment/90729952/calendar/10666859,Coffee & Kids,0-1 year,2026-04-08,2026-04-08,11:00,12:00,Wednesday,,,,"Learn 7 gentle, practical tips to help your baby sleep better and create calmer nights for the whole family. Session led by a Sleep Coach Yolanda (@Game of snores). We ask for a symbolic €1 to reserve your spot.",,false,false,true,,"IJburglaan 1359, 1087 JJ Amsterdam",IJburg,East,2026-03-18 17:12,ideas,new,manual
Navigating Unexplained Infertility: A Holistic Path,"An intimate workshop, 'A Holistic Path,' combines functional nutrition and nervous system science for women navigating infertility. Led by Vivienne (Florish) and Sonia (Eat Love Thrive Wellness), this small group workshop (maximum 8 participants) explores overlooked aspects of fertility, including gut health, the microbiome, the immune system, minerals, and the nervous system. The session includes an educational presentation on unexplained infertility through a holistic lens, a body awareness exercise, and journaling, aiming to provide a clearer understanding and sense of empowerment for participants. It's designed to complement, not replace, medical advice or fertility treatment.",https://luma.com/iit8jj77,Florish & Eat Love Thrive Wellness,,2026-04-09,2026-04-09,18:30,20:30,Thursday,120,,,"Join 'A Holistic Path,' an intimate online workshop hosted by Florish and Eat Love Thrive Wellness. This paid workshop (tickets from €49) is designed for adult women navigating infertility, exploring functional nutrition and nervous system science to offer a deeper understanding of the body's role in fertility challenges.",,false,false,true,,"Tuinstraat 133, 1015 PA Amsterdam, Netherlands",Jordaan,Center,2026-03-20 21:43,ideas,new,manual
Mom Happy Hour,"Join parentally.nl for a 'Mom Happy Hour' hosted by Claudia Carter, a Social Emotional Development Specialist and Special Needs Intervention Consultant. This event offers mothers a chance to connect, share experiences, and unwind in Amsterdam's De Pijp neighborhood.",https://events.parentally.nl/event/mom-happy-hour-maison-parentally-2,Parentally,,2026-04-09,2026-04-09,18:30,20:00,Thursday,90,,,"Join parentally.nl for a 'Mom Happy Hour' hosted by Claudia Carter, a Social Emotional Development Specialist and Special Needs Intervention Consultant. This event provides a fantastic opportunity for mothers to connect, share experiences, and relax in the vibrant De Pijp neighborhood of Amsterdam. Designed for parents, it's a perfect evening to unwind and network.",,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0AQ73CMYCC/screenshot_20260331-224931.png,"Rustenburgerstraat 236, 1073 GK Amsterdam",De Pijp,South,2026-03-31 22:53,ideas,new,manual
The 3 conversations that are quietly breaking your expat family...and how to repair them,"This free, inclusive 60-minute live masterclass with Angela Vitiello aims to help expat parents repair critical conversations within their families that may have been lost amidst life abroad. It addresses feelings of loneliness, provides exact language for difficult conversations with partners, and offers a framework for navigating children's identity questions. Participants will learn practical tools to reconnect with themselves, their partners, and their children. A recording will be sent to all who register.",https://tally.so/r/81GyAO,Expat Parenting Collective,Parents,2026-04-10,2026-04-10,19:00,20:00,Friday,60,,,"Join Angela Vitiello for a free online masterclass by Expat Parenting Collective, designed specifically for expat parents. This 60-minute session will help you repair the crucial conversations within your family, addressing common challenges like loneliness and your child's identity questions. Learn practical tools and language to foster deeper connection with yourself, your partner, and your kids.",,false,false,true,,,Other,Online,2026-03-30 22:40,ideas,new,manual
The ABCs of Raising Multilingual Children Workshop,"A workshop hosted by Growing Up Multilingual at Monti's World, focused on the science, strategies, and soul of raising multilingual children with confidence. It offers a supportive space for families living between languages, cultures, and countries to connect, chat, laugh, and discuss real experiences in raising multilingual kids.",https://www.instagram.com/p/DWN_kGhDqL6/?igsh=MWk5a25jdzZocHhyNQ==,Growing Up Multilingual,Parents,2026-04-11,2026-04-11,10:30,12:30,Saturday,120,,,"Join Growing Up Multilingual at Monti's World for 'The ABCs of Raising Multilingual Children' workshop. This event offers science, strategies, and insights for parents raising multilingual children with confidence, providing a supportive space for families navigating multiple languages and cultures.",,false,false,true,,"Ceintuurbaan 143, 1072GB Amsterdam, The Netherlands",De Pijp,South,2026-03-23 22:55,ideas,new,manual
Back carrying workshop,"In this workshop I will explain why we wear our babies on our backs as they grow. I will teach a method to train yourself and your child to be able to easily back carry. I will demonstrate several methods for getting your child on your back without anyone's help. We will then practice with dolls and/or with your own child and carriers. 

I will put out yoga mats for the little ones. I have one larger demo doll we can take turns with, and 2 smaller ones. Also pillows that I will weigh down that we can practice with. It is up to you if you want to bring your baby/toddler. They are very welcome and I will also bring a few toys for them. It would, in theory, be best to practice with them, but also, it's important that we, ourselves, practice first and get comfortable with the motions. And the patience of the little ones can run out which makes it hard for you to keep paying attention. So just think about what will be best for you.

We will sit for a bit and I will do some explaining at the beginning and then we will start to practice. I will have my collection of carriers there too that you can try, but you should also definitely bring the carriers you have. 

It will be fun and social!",https://www.tickettailor.com/events/adaptingtolove/2061030,Adapting to Love,,2026-04-12,2026-04-12,11:00,12:30,Sunday,,,,"Certified babywearing consultant Zyanya will explain why we wear our babies on our backs as they grow. She will teach a method to train yourself and your child to be able to easily back carry. I will demonstrate several methods for getting your child on your back without anyone's help, and then practice with dolls and/or with your own child and carriers.",,true,false,true,,"De Genestetstraat 2, 1054 AX Amsterdam",Oud West,West,2026-02-28 22:54,ideas,new,manual
A Market for Mothers and their Little Ones,"This market in Weesp is designed for all mothers (to be) and their little ones, offering a unique opportunity to meet and connect with various experts. Attendees can learn from a baby sleep coach, work coach, relationship therapist, pelvic floor physiotherapist (with diastasis check), postpartum expert/doula, and a pre/postnatal trainer. Entry to the event is free.",https://www.instagram.com/p/DWBI755glg_/?igsh=cG83aGpuZzhkcnF1,The Tribe Weesp,,2026-04-12,2026-04-12,10:00,14:00,Sunday,240,,,"The Tribe Weesp invites mothers (to be) and their little ones to a free market, where they can connect with various experts, including baby sleep coaches, physiotherapists, postpartum specialists, and pre/postnatal trainers.",,false,false,true,,"Van Houten Industriepark 8, 1381 MZ Weesp, Netherlands",Weesp,East,2026-03-18 23:00,ideas,new,manual
Adapted Sports & Games for Young Children,"i-Sport Special organizes adapted sports and games for young children aged 2-5. These sessions focus on inclusive play and physical activity. The event is free, and registration is possible for one morning per week, either Monday or Wednesday morning.",isportspecial.eu,i-Sport Special,2-5 years,2026-04-13,2026-04-13,09:00,10:30,Monday,90,"RRULE:FREQ=WEEKLY;BYDAY=MO,WE",weekly,"Join i-Sport Special for free adapted sports and games tailored for young children aged 2-5. These engaging sessions are designed for inclusive play and physical activity, happening weekly on Monday and Wednesday mornings.",,false,true,false,https://amsparentproject.slack.com/files/U08CUR77G9K/F0ARKFSTN4F/screenshot_20260410-073848.png,"Egoli 11A, 1103 AC Amsterdam, The Netherlands",Bijlmer-Centrum,East,2026-04-10 09:15,ideas,new,manual
FINDING YOURSELF AGAIN: Navigating Identity in Motherhood,"Becoming a mother isn’t just about having a baby; it’s a profound identity shift known as matrescence. Many women feel like they don’t quite recognize themselves after becoming a mother. Join coach & counsellor Anca Zinculescu from A2Z Coaching for an intimate workshop exploring the emotional and psychological journey of becoming a mother. Through guided discussion and reflection, participants will gain language, insight, and practical tools to navigate this transformation with more self-compassion. This workshop is ideal for new mothers feeling a little lost, pregnant and preparing for motherhood, those navigating the gap between expectations and reality, or experiencing conflicting emotions.",https://www.instagram.com/p/DVspq5nFzid/?igsh=d3pzem55NDh5YzVl,Maison Parentally,For mothers,2026-04-14,2026-04-14,18:00,20:00,Tuesday,120,,,"Maison Parentally invites mothers to a workshop, 'Finding Yourself Again: Navigating Identity in Motherhood.' Led by certified coach Anca Zinculescu, this intimate session explores the profound identity shift of matrescence, offering tools and insights for new and expectant mothers. Spots are limited, and registration is required.",,false,false,true,,"Rustenburgerstraat 236, Amsterdam, The Netherlands",De Pijp,South,2026-03-10 12:41,ideas,new,manual
Van Gogh Museum Parent & Baby Meetup,"Join a specially-crafted meetup at the Van Gogh Museum for parents and their pre-walking babies (0-1 year old). Hosted by Amsterdam Parent Project, and Paola Bucciol (author of the ABCs of Amsterdam), this meetup provides an opportunity to connect with local parents and learn about Van Gogh's famous works like Sunflowers and Wheatfield with Crows. The 1 hour 30 minute meetup is designed to be flexible, allowing time for feeding or changing babies. After the gallery visit, there's an optional chat at the museum cafe. Please note that while the guided tour has a fee, participants are responsible for their own museum entrance ticket (via Museumkaart or purchased online).",https://www.eventbrite.nl/e/1984753296538?aff=oddtdtcreator,Amsterdam Parent Project,0-1 year,2026-04-14,2026-04-14,09:30,11:00,Tuesday,90,,,"APP is hosting a special meetup for parents and their pre-walking babies (0-1 year old), in collaboration with Paola Bucciol. Connect with other parents while exploring Van Gogh's masterpieces, followed by a chance to meet and chat with fellow families at the museum cafe.",,true,false,true,,"Museumplein 6, 1071 DJ Amsterdam, The Netherlands",Museumkwartier,North,2026-03-22 15:33,ideas,new,manual
Museumstoomtram Hoorn-Medemblik Tulip Trip,"Hop on the Museumstoomtram Hoorn-Medemblik for the ultimate 2026 tulip experience! This 'Living Museum' takes you on a journey with a 1920s steam engine through raw production fields and historic stations like Wognum and Twisk, where the best tulips can be found. The peak bloom season runs from April 15–25, 2026, with popular daily departures like the 10:40 AM ride.",https://www.stoomtram.nl/en/tuliptrain/,Museumstoomtram Hoorn-Medemblik,4-12 years,2026-04-15,2026-04-15,10:40,13:10,Wednesday,150,,,"Take a magical 'time travel' trip on the Museumstoomtram Hoorn-Medemblik to experience the stunning 2026 tulip fields! This unique steam tram adventure, suitable for ages 4-12, offers rides through blooming landscapes and stops at historic stations daily during the peak bloom season from April 15–25. While tickets are €29.50 for adults and €21.00 for kids, entry is free with a Dutch Museum Card (Museumkaart).",,false,false,true,,"Van Dedemstraat 8, 1621 PE Hoorn, Netherlands",Other,Other,2026-03-08 11:26,ideas,new,manual
